year,united_kingdom,england,wales,scotland,northern_ireland,north_east,north_west,yorkshire_and_the_humber,east_midlands,west_midlands,east_of_england,london,south_east,south_west
1987,0.11343588,0.11625123,0.085910653,0.047765739,0.078856388,0.136874232,0.073891268,0.083570899,0.116736299,0.148398214,0.192598065,0.203434008,0.176500654,0.160680922
1988,0.221930628,0.239651105,0.152841368,0.063803183,0.075685018,0.102609993,0.151098344,0.177965185,0.273924799,0.276908473,0.283205885,0.176799346,0.272795204,0.306944196
1989,0.111255192,0.123824903,0.255139586,0.124368627,0.013556485,0.231401326,0.237485687,0.279394218,0.219639199,0.194604317,0.116196971,0.060311209,0.128626626,0.146210035
1990,0.090052146,0.080656198,0.081035807,0.179408939,0.05181638,0.136180146,0.19480427,0.129468876,0.064729568,0.097942387,-0.031289703,0.017455057,-0.012411691,-0.024267208
1991,0.044660032,0.033653618,0.054343147,0.168359525,0.111243681,0.097186639,0.051428685,0.108233999,0.059293044,0.072494241,-0.025198476,0.022917885,-0.011538744,-0.000489461
1992,-0.017436554,-0.024609872,0.011471963,0.025383417,0.081798146,0.046040313,0.066797605,-0.000993447,-0.02133118,-0.013263097,-0.066800258,-0.089722656,-0.051650639,-0.05649925
1993,0.015757912,0.013816492,0.058808097,-0.008838232,0.015488286,0.02611351,-0.014994335,0.043621273,-0.013821928,0.01083257,0.023896439,0.042063319,0.009290717,-0.005433549
1994,0.039369194,0.04562349,0.012217669,0.021848773,-0.005889918,0.003447922,0.028773746,-0.004031371,0.024573861,0.009930266,0.040071304,0.077447991,0.068281568,0.057535185
1995,0.013227962,0.008116354,-0.002410274,0.049199424,0.107603943,-0.047614178,-0.017661857,7.36E-05,-0.001070411,0.051346274,0.008713687,0.02164759,0.006265679,0.003839808
1996,0.075894217,0.060882085,0.036241459,0.06644337,0.11371175,0.095436487,0.024506055,0.027798219,0.068924809,0.035365324,0.048075276,0.050676883,0.055570276,0.045133342
1997,0.077549344,0.091690902,0.063280994,0.021332533,0.118104786,0.035581956,0.094915725,0.074319366,0.052247048,0.054151119,0.108646786,0.124956147,0.082127698,0.073051709
1998,0.07451743,0.07438698,0.043342699,0.098509061,0.113808175,0.059310162,0.041045072,0.036571752,0.068222186,0.059894105,0.089753988,0.084710685,0.121633875,0.098611035
1999,0.131423191,0.135049295,0.108058849,0.090068412,0.116056993,0.101202709,0.096716718,0.083614621,0.094958809,0.109832461,0.092002887,0.239913576,0.143601121,0.112389811
2000,0.097588656,0.113020503,0.071158662,0.009363458,0.09427015,0.037341772,0.081869559,0.070606384,0.095061916,0.108755344,0.154603938,0.14935252,0.173738636,0.16830873
2001,0.111127523,0.117432102,0.101584008,0.051585884,0.101649337,0.09217628,0.057615546,0.058080248,0.100311385,0.104250772,0.14349852,0.11461269,0.099264654,0.138209588
2002,0.136748349,0.148164566,0.108416637,0.05552535,0.049370971,0.131179007,0.117375792,0.153965012,0.20113428,0.15015873,0.183578658,0.136684492,0.148307892,0.200305127
2003,0.213323978,0.215198357,0.242462696,0.334633958,0.135847976,0.270643654,0.249027956,0.296473232,0.259245481,0.223108634,0.210824027,0.167038206,0.192673224,0.225269131
2004,0.158205196,0.150953123,0.259709468,0.147538136,0.157230327,0.261769513,0.209490187,0.201867785,0.17028626,0.178167153,0.10779113,0.128262164,0.102474287,0.13436343
2005,0.058319648,0.05420256,0.085695051,0.089958968,0.172804661,0.06791669,0.07437363,0.077900042,0.04527066,0.043609357,0.042742075,0.035406727,0.027582278,0.034154179
2006,0.073668484,0.057487562,0.049860314,0.058327098,0.309760193,0.043746764,0.053974839,0.069135352,0.017642287,0.049010089,0.044713008,0.081387941,0.054825345,0.043481235
