year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
1971,898674,875350,913862,919563,945135,934747,955974,952626,927582,913056,895606,864333,843744,824046,804342,788028,762549,778904,770271,762667,783981,802800,834101,890400,970629,770016,756932,761986,729477,668015,627111,665131,668602,665546,657996,647782,639753,621159,628502,649604,662563,666439,661422,660252,674790,689225,689944,701367,704921,746886,780415,817093,562717,542373,601441,640375,687158,691184,682821,663781,660494,659969,653100,636624,611913,591194,575477,548589,525663,494782,474521,446522,395121,366922,345420,319797,295884,268015,249129,223647,201687,179495,162219,141204,118353
1972,846164,893112,872388,910282,915935,943397,933000,956051,952914,927773,914065,896132,864785,843552,824909,804557,785744,760954,777849,772146,765656,784321,803064,833217,889292,969472,767425,755740,760201,727718,666153,625303,663332,666245,663571,656340,646507,637951,619399,626005,648498,661331,665299,658948,657665,671629,686733,686728,697512,701831,742160,774901,811019,558024,536551,596123,633958,679730,683975,673628,654630,649425,647807,640208,622876,596405,575625,558635,531009,507245,475866,454579,425557,374997,346985,324868,299060,275424,247584,228355,203641,182435,160619,143852,123905
1973,793122,841729,890312,870303,907727,912861,941333,932474,957254,954234,929107,915512,897692,866056,844264,826474,803591,784497,758859,779150,775357,766778,783913,804273,831075,887611,966926,764768,753914,759067,725969,665084,623607,662118,665149,661940,654195,644893,635766,618410,624805,646632,659829,663719,657462,655606,668861,683758,683528,693878,698568,737955,769363,804771,553291,531365,589929,627410,671697,675660,664744,644839,637995,635421,626379,607295,580754,559406,541251,512813,488049,456351,433913,404283,354290,326351,303983,278240,254717,226851,207683,183538,163279,141431,125685
1974,735132,788130,837630,887158,868240,904132,909326,938211,931345,956137,954751,929947,916316,898327,866743,845654,826364,802715,782298,759464,781223,775436,766823,783292,803884,828143,884087,963373,760762,749731,755495,723426,662415,620076,658914,662547,659468,651028,641872,632764,616093,622357,643846,657159,660928,654309,652263,665184,680122,679771,689518,693719,732535,763118,797817,547586,525391,582844,619739,662589,666100,654257,633608,625415,621901,610880,591428,564353,541955,522692,493698,468122,435840,411865,382096,333580,305450,283124,257406,234119,206917,187652,164445,144740,123557
1975,706873,730600,784436,833373,884487,865682,901613,906562,934971,930240,956590,955425,931121,916800,898630,867384,844075,825369,803724,784915,763187,781160,775108,766358,780752,800175,824720,881052,960289,758020,746044,752447,720309,660354,616948,654972,659578,656948,648752,639932,629971,613828,619951,641499,654989,658235,651797,649292,661967,676366,674513,684210,688509,726420,756932,790305,542390,519471,575483,611509,653438,655855,643466,622192,612371,606800,594620,575061,546920,523632,503754,474067,447468,414959,389875,359773,311977,284511,261909,236571,213470,186706,167956,145126,126475
1976,677320,703053,727975,781701,830587,882209,864671,899594,904220,932285,930452,957352,955812,931842,917783,899779,866926,843330,827231,806930,789615,766075,783022,776724,765913,778526,798701,823545,879458,958950,756703,744697,751283,718381,658208,614526,652735,656830,654358,646448,638109,628587,612258,618192,639226,652673,655268,649012,646031,658545,671922,669995,678903,682599,719907,750521,783308,536308,512813,567702,603006,643292,644719,631301,608818,597212,590870,577660,557182,528394,504551,483647,453334,426139,392665,367151,337237,290635,262935,240755,215271,192608,166790,148385,126205
1977,645940,673402,699438,724210,778549,827397,880338,864090,898361,903153,930961,931686,958728,956978,933357,918863,899501,866453,844228,829115,810622,791509,767539,782934,775895,763173,776661,796828,821426,877291,956664,755227,743403,750074,716800,656808,612498,650674,654573,652527,645025,636941,627093,611057,616451,637243,650279,652671,646148,642557,654674,667538,665140,673579,677058,713432,742909,774948,530125,506292,560112,594236,632635,632867,618689,594564,582366,574841,560551,539277,509701,485303,463048,432300,404058,370941,344473,314585,269441,242358,219760,195473,173077,147739,129995
1978,655810,643970,672126,698179,723114,776573,825543,879577,864278,897445,902581,929978,934033,961122,958674,935004,919968,899790,867481,846652,832645,812787,790701,765823,781827,773665,760720,774345,794887,819301,874834,954300,752854,741217,748216,715023,655243,610467,648559,652188,650974,643697,635544,625728,610198,614723,635365,648123,650071,643086,639064,650459,662635,659854,667851,670782,706136,734758,764998,522851,499048,551004,584241,621036,620124,604534,580492,566683,557897,542633,520303,490146,465191,441824,410558,381674,348403,321339,291816,248623,221325,199146,176064,154109,129773
1979,709691,653317,642965,671253,697276,721817,775325,824405,878893,864563,896629,902481,929724,936297,963679,961647,936592,921502,901484,870708,850040,834530,814185,789500,764368,778852,771312,758226,772503,792723,817681,873347,952964,752182,740220,747088,714289,654801,610082,648174,651867,650340,642352,634476,624584,608662,612828,633254,645623,647336,640165,635814,646402,657800,654544,661789,664181,698822,726418,755700,516429,491683,541826,573834,608457,605952,589987,565272,550263,540596,524053,500627,469785,444018,419212,387878,358557,325082,298192,268616,227089,200297,178736,156552,135144
1980,734109,706379,652006,641043,669995,695867,720467,774300,822960,878476,865443,896051,902489,929655,938603,965946,962444,938496,923465,905432,875841,852782,836418,812541,787699,761274,775355,769716,755151,770359,789603,816014,871772,951187,750850,738670,745679,713455,653686,609197,646365,650760,649585,641027,632858,623225,606737,610637,631030,642990,644293,636853,632119,641939,652535,649361,655150,656959,691162,717643,746044,508511,483521,531563,562791,595331,592124,575168,550031,534002,522858,505575,480713,448895,422817,397182,365533,335861,302772,275373,245817,206685,180456,159277,138526
